game_num,completed_at,first_guess,word,turns
75,2022-01-12 01:23:07.361619,which,maiko,7
76,2022-01-12 01:23:07.515341,which,donne,4
77,2022-01-12 01:23:07.675546,which,vests,7
78,2022-01-12 01:23:07.828777,which,leads,5
79,2022-01-12 01:23:07.980934,which,durga,4
80,2022-01-12 01:23:08.132470,which,meyer,5
81,2022-01-12 01:23:08.252043,which,codec,6
82,2022-01-12 01:23:08.435010,which,duras,5
83,2022-01-12 01:23:08.584105,which,burka,6
84,2022-01-12 01:23:08.733140,which,pours,5
85,2022-01-12 01:23:08.881043,which,platz,5
86,2022-01-12 01:23:09.003846,which,inthe,3
87,2022-01-12 01:23:09.127155,which,raghu,5
88,2022-01-12 01:23:09.260120,which,binns,5
89,2022-01-12 01:23:09.405563,which,meuse,5
90,2022-01-12 01:23:09.542157,which,albin,7
91,2022-01-12 01:23:09.678360,which,luria,4
92,2022-01-12 01:23:09.793209,which,welts,4
93,2022-01-12 01:23:09.936296,which,funke,5
94,2022-01-12 01:23:10.051164,which,twist,3
95,2022-01-12 01:23:10.166742,which,meath,5
96,2022-01-12 01:23:10.303702,which,nines,7
97,2022-01-12 01:23:10.451051,which,pp000,7
98,2022-01-12 01:23:10.602052,which,vanya,6
99,2022-01-12 01:23:10.716903,which,hoffa,6
0,2022-01-12 01:23:10.837410,would,javed,7
1,2022-01-12 01:23:10.980682,would,varia,8
2,2022-01-12 01:23:11.101243,would,flexi,5
3,2022-01-12 01:23:11.227553,would,mushy,4
4,2022-01-12 01:23:11.341776,would,bulls,3
5,2022-01-12 01:23:11.463249,would,dildo,3
6,2022-01-12 01:23:11.588783,would,rubra,5
7,2022-01-12 01:23:11.730719,would,perky,6
8,2022-01-12 01:23:11.870760,would,mitre,4
9,2022-01-12 01:23:12.002961,would,jussi,4
10,2022-01-12 01:23:12.145546,would,verne,5
11,2022-01-12 01:23:12.280794,would,tisha,4
12,2022-01-12 01:23:12.428432,would,casca,6
13,2022-01-12 01:23:12.554857,would,fazio,5
14,2022-01-12 01:23:12.692176,would,cutie,3
15,2022-01-12 01:23:12.816466,would,lymph,4
16,2022-01-12 01:23:12.947593,would,built,2
17,2022-01-12 01:23:13.082076,would,noses,5
18,2022-01-12 01:23:13.227860,would,taken,3
19,2022-01-12 01:23:13.379564,would,kinky,6
20,2022-01-12 01:23:13.503294,would,abuts,4
21,2022-01-12 01:23:13.624010,would,clwyd,2
22,2022-01-12 01:23:13.748461,would,000mw,5
23,2022-01-12 01:23:13.899588,would,r0000,4
24,2022-01-12 01:23:14.036267,would,scott,3
25,2022-01-12 01:23:14.154492,would,sousa,3
26,2022-01-12 01:23:14.295028,would,reitz,4
27,2022-01-12 01:23:14.426917,would,moto3,5
28,2022-01-12 01:23:14.545869,would,baden,5
29,2022-01-12 01:23:14.668278,would,0000d,5
30,2022-01-12 01:23:14.810527,would,rafts,6
31,2022-01-12 01:23:14.951178,would,trite,5
32,2022-01-12 01:23:15.081431,would,roofs,6
33,2022-01-12 01:23:15.218211,would,pffft,5
34,2022-01-12 01:23:15.342156,would,bezos,4
35,2022-01-12 01:23:15.482631,would,peice,5
36,2022-01-12 01:23:15.601789,would,lucio,4
37,2022-01-12 01:23:15.743221,would,tibet,4
38,2022-01-12 01:23:15.882277,would,marne,6
39,2022-01-12 01:23:16.020325,would,bathe,4
40,2022-01-12 01:23:16.132795,would,twirl,3
41,2022-01-12 01:23:16.272684,would,kites,7
42,2022-01-12 01:23:16.386098,would,turds,4
43,2022-01-12 01:23:16.523173,would,armie,4
44,2022-01-12 01:23:16.666386,would,germs,6
45,2022-01-12 01:23:16.790785,would,throb,4
46,2022-01-12 01:23:16.912784,would,syrup,4
47,2022-01-12 01:23:17.064600,would,nanak,6
48,2022-01-12 01:23:17.201779,would,ragin,5
49,2022-01-12 01:23:17.343103,would,viney,6
50,2022-01-12 01:23:17.474304,would,atone,4
51,2022-01-12 01:23:17.609921,would,ganon,5
52,2022-01-12 01:23:17.739591,would,blond,3
53,2022-01-12 01:23:17.889788,would,beter,7
54,2022-01-12 01:23:18.011729,would,swaps,5
55,2022-01-12 01:23:18.135237,would,bully,4
56,2022-01-12 01:23:18.259452,would,marla,6
57,2022-01-12 01:23:18.393898,would,amano,5
58,2022-01-12 01:23:18.547736,would,spies,5
59,2022-01-12 01:23:18.700750,would,matey,5
60,2022-01-12 01:23:18.854343,would,reaps,5
61,2022-01-12 01:23:18.979259,would,weibo,3
62,2022-01-12 01:23:19.111556,would,picot,5
63,2022-01-12 01:23:19.235626,would,turks,5
64,2022-01-12 01:23:19.361090,would,cubby,4
65,2022-01-12 01:23:19.504558,would,feige,4
66,2022-01-12 01:23:19.632010,would,eller,5
67,2022-01-12 01:23:19.746525,would,sweat,3
68,2022-01-12 01:23:19.868781,would,gulab,5
69,2022-01-12 01:23:20.011589,would,mercs,7
70,2022-01-12 01:23:20.135029,would,hopes,5
71,2022-01-12 01:23:20.274683,would,tasty,4
72,2022-01-12 01:23:20.395093,would,human,3
73,2022-01-12 01:23:20.510223,would,pluck,4
